voter_id,dim1,dim2,dim3,příjmení,jméno,kandidátka,klub
6520,1.0422384224908596,0.1177300462443059,-0.0066098649333943,Růžička,Pavel,ANO2011,ANO
6468,1.0629693627888328,0.0884701439758131,0.0412158979457004,Malá,Taťána,ANO2011,ANO
6463,1.023193155619878,0.1182778056069507,0.0287794011237231,Juchelka,Aleš,ANO2011,ANO
6736,1.0797776931967662,0.1040012389622399,0.0674434320434655,Kukla,Martin,ANO2011,ANO
6458,1.0775895488818796,0.0717849934992593,0.0683963534448815,Jáč,Ivan,ANO2011,ANO
6457,1.0841775444315136,0.0743782973487557,0.0199688709485431,Fialová,Eva,ANO2011,ANO
6738,1.0755861401177147,0.0880842485587805,0.0586238028316891,Lang,Hubert,ANO2011,ANO
6451,1.0002331538330715,0.2107819974607483,-0.0668343318042224,Fridrich,Stanislav,ANO2011,ANO
6448,1.041951316538415,0.0953473029384817,0.0643983752179094,Feranec,Milan,ANO2011,ANO
6447,1.077329941857815,0.1034340294270013,0.0611002841915816,Farhan,Kamal,ANO2011,ANO
6732,1.0472760500018286,0.1003089925071627,0.063610490304112,Mádlová,Ivana,ANO2011,ANO
6441,0.8936683203464885,0.2571154751239316,-0.0217715244287733,Bžoch,Jaroslav,ANO2011,ANO
6437,1.0092430257340772,0.1887110892710925,-0.086542037822175,Bělica,Josef,ANO2011,ANO
6749,1.0633208003535668,0.1031758313823736,-0.0053248956351444,Fischerová,Romana,ANO2011,ANO
6431,1.0710369875165715,0.0938872359563988,0.0501256536506564,Dražilová,Lenka,ANO2011,ANO
6430,1.071774245163853,0.0876523972048491,0.0669739447771461,Dostálová,Klára,ANO2011,ANO
6428,0.9884249440372423,0.2030856629230034,-0.0398484338055855,Babišová,Andrea,ANO2011,ANO
6534,1.070158612257231,0.0839760374532185,0.0770408366234465,Mašek,Jiří,ANO2011,ANO
6254,1.0766986638773408,0.0947598327603484,0.0730630180530133,Adámková,Věra,ANO2011,ANO
6246,1.0229246541930594,0.0866792492542352,0.0732691762728649,Kott,Josef,ANO2011,ANO
6240,0.9925915479517956,0.1955124300807988,-0.1016224347311137,Tureček,Karel,ANO2011,ANO
6743,1.0746039996417966,0.0704687665285926,0.0758921678820719,Stržínek,Robert,ANO2011,ANO
6225,1.067844851899833,0.0610552545550301,0.0507191490818836,Pastuchová,Jana,ANO2011,ANO
6471,1.06443088117967,0.0819653748389757,0.0689396327423679,Mračková Vildumetzová,Jana,ANO2011,ANO
6474,1.071266818674265,0.0715206025182082,0.0570405145104073,Ožanová,Zuzana,ANO2011,ANO
6533,1.0259952653882216,0.09262921704902,0.0075137487206466,Novák,Marek,ANO2011,ANO
6527,1.0271443085991652,0.0995328136579175,0.0348971508835129,Pražák,David,ANO2011,ANO
6545,1.067500924488879,0.1161474279627136,0.0510713184094682,Schillerová,Alena,ANO2011,ANO
6523,1.0506323185604791,0.1102980965792466,-0.0250054216417782,Ratiborský,Michal,ANO2011,ANO
6621,1.0524722051235187,0.1042916580581721,0.0119592681405837,Havlíček,Karel,ANO2011,ANO
6518,1.0666567240313891,0.1095599958888844,0.0192598548346488,Sadovský,Petr,ANO2011,ANO
6515,1.0461879920188004,0.1740150311238333,-0.032766531532878,Strýček,Jiří,ANO2011,ANO
6511,1.0698747364144576,0.0783859738606313,0.0101936528324448,Kubík,Jan,ANO2011,ANO
6623,0.9562744951506577,0.1316480600088905,0.0171762494953168,Babka,Ondřej,ANO2011,ANO
6731,0.8298888073420462,-0.0183078636636865,0.5598206969918529,Wenzl,Milan,ANO2011,ANO
6509,1.0624758423726208,0.1248216923782169,0.0583598537345882,Králíček,Robert,ANO2011,ANO
6505,0.976878472380195,0.2217803585104301,-0.0483517456946656,Špičák,Julius,ANO2011,ANO
6500,1.056556915201598,0.0618799157268888,0.0630793921352897,Richter,Jan,ANO2011,ANO
6723,1.00527689689385,0.1810184123037901,-0.0608673138023955,Berkovcová,Jana,ANO2011,ANO
6490,1.056327168184396,0.2037224420200855,-0.0888103929816519,Vrána,Petr,ANO2011,ANO
6487,1.0776417110109942,0.0537743667012654,-0.0010832082325507,Nacher,Patrik,ANO2011,ANO
6725,1.0823427239692025,0.1131044259126894,0.0589847630389694,Brož,Lubomír,ANO2011,ANO
6484,1.0552272203309423,0.1059979299670118,0.0419491641768693,Štolpa,David,ANO2011,ANO
6730,1.07430265273807,0.0946663514376098,0.0838277061839996,Wenzl,Lubomír,ANO2011,ANO
6475,1.0734246818977364,0.1139472173471818,0.0127846814778198,Oborná,Monika,ANO2011,ANO
6506,1.0078293398487452,0.2016749747582094,-0.1111595641445309,Kohoutek,Tomáš,ANO2011,ANO
6753,1.074564952091794,0.0907014456641975,0.0156218135985843,Hanzlíková,Jana,ANO2011,ANO
6409,1.0638143524077983,0.1026633105672418,0.0781965673108817,Petrtýl,František,ANO2011,ANO
6544,1.0735215101602402,0.0683382262204631,0.0933715263933578,Metnar,Lubomír,ANO2011,ANO
6775,1.090796519212175,0.0817743499681783,0.0773998752067809,Knechtová,Lenka,ANO2011,ANO
6758,1.0728493958494727,0.1006853299623671,0.0666087592962436,Hendrych,Igor,ANO2011,ANO
6215,1.0545828694515669,0.0953769745406896,0.0835881374324598,Kubíček,Roman,ANO2011,ANO
6143,1.072011533236252,0.0873465871614213,0.0642411432669728,Berkovec,Stanislav,ANO2011,ANO
6780,1.0608091212926531,0.0581110841739074,0.0229438870693825,Peštová,Berenika,ANO2011,ANO
6150,1.0481341219564246,-0.0643007679268637,0.4971031126425724,Babiš,Andrej,ANO2011,ANO
