Hlasování se opakovalo,Jen oznámeno pro záznam,Celkem,Poslanec/kyně,Klub
2,1,3,Pavel Bělobrádek,KDU-ČSL
2,0,2,Jaroslava Pokorná Jermanová,ANO
1,2,3,Marek Benda,ODS
1,1,2,Jiří Mašek,ANO
1,1,2,Berenika Peštová,ANO
1,1,2,Ondřej Benešík,KDU-ČSL
1,1,2,Vít Rakušan,STAN
1,1,2,Helena Langšádlová,TOP09
1,1,2,Michal Kučera,TOP09
1,0,1,Stanislav Berkovec,ANO
1,0,1,Jan Volný,ANO
1,0,1,Margita Balaštíková,ANO
1,0,1,Roman Kubíček,ANO
1,0,1,Jana Pastuchová,ANO
1,0,1,Andrea Babišová,ANO
1,0,1,Josef Bělica,ANO
1,0,1,Milan Feranec,ANO
1,0,1,Ivan Jáč,ANO
1,0,1,Aleš Juchelka,ANO
1,0,1,Alena Schillerová,ANO
1,0,1,Karel Havlíček,ANO
1,0,1,Ivana Mádlová,ANO
1,0,1,Nina Nováková,KDU-ČSL
1,0,1,Pavel Žáček,ODS
1,0,1,Karel Krejza,ODS
1,0,1,Jana Bačíková,ODS
1,0,1,Jakub Michálek,Piráti
0,5,5,Šimon Heller,KDU-ČSL
0,4,4,Josef Kott,ANO
0,3,3,Radek Vondráček,ANO
0,3,3,Ondřej Babka,ANO
0,3,3,Tomio Okamura,SPD
0,3,3,Vladimír Zlínský,SPD
0,2,2,Helena Válková,ANO
0,2,2,Hubert Lang,ANO
0,2,2,Miroslav Zborovský,KDU-ČSL
0,2,2,Petr Beitl,ODS
0,2,2,Olga Richterová,Piráti
0,2,2,Jan Hrnčíř,SPD
0,2,2,Josef Cogan,STAN
0,2,2,Věra Kovářová,STAN
0,2,2,Michal Zuna,TOP09
0,1,1,Miloslav Janulík,ANO
0,1,1,Jana Mračková Vildumetzová,ANO
0,1,1,David Štolpa,ANO
0,1,1,Patrik Nacher,ANO
0,1,1,Michal Ratiborský,ANO
0,1,1,David Pražák,ANO
0,1,1,Drahoslav Ryba,ANO
0,1,1,Vít Kaňkovský,KDU-ČSL
0,1,1,Tom Philipp,KDU-ČSL
0,1,1,Jan Bureš,ODS
0,1,1,Pavel Blažek,ODS
0,1,1,Jan Skopeček,ODS
0,1,1,Jakub Janda,ODS
0,1,1,Petr Fifka,ODS
0,1,1,Jan Hofmann,ODS
0,1,1,Ivan Bartoš,Piráti
0,1,1,Jaroslav Dvořák,SPD
0,1,1,Jiří Kobza,SPD
0,1,1,Radek Koten,SPD
0,1,1,Oldřich Černý,SPD
0,1,1,Jan Síla,SPD
0,1,1,Petra Quittová,STAN
0,1,1,Ondřej Lochman,STAN
0,1,1,Barbora Urbanová,STAN
0,1,1,Lukáš Vlček,STAN
0,1,1,Markéta Pekarová Adamová,TOP09
0,1,1,Vlastimil Válek,TOP09
